index,secid,isin,registryclosedate,value,currencyid
0,GAZP,RU0007661625,2014-07-17,7.2,RUB
1,GAZP,RU0007661625,2015-07-16,7.2,RUB
2,GAZP,RU0007661625,2016-07-20,7.89,RUB
3,GAZP,RU0007661625,2017-07-20,8.04,RUB
4,GAZP,RU0007661625,2018-07-19,8.04,RUB
5,GAZP,RU0007661625,2019-07-18,16.61,RUB
6,GAZP,RU0007661625,2020-07-16,15.24,RUB
7,GAZP,RU0007661625,2021-07-15,12.55,RUB
8,GAZP,RU0007661625,2022-07-20,52.53,RUB
9,GAZP,RU0007661625,2022-10-11,51.03,RUB
10,MTSS,RU0007775219,2018-07-09,23.4,RUB
11,MTSS,RU0007775219,2018-10-09,2.6,RUB
12,MTSS,RU0007775219,2019-07-09,19.98,RUB
13,MTSS,RU0007775219,2019-10-14,8.68,RUB
14,MTSS,RU0007775219,2020-01-10,13.25,RUB
15,MTSS,RU0007775219,2020-07-09,20.57,RUB
16,MTSS,RU0007775219,2020-10-12,8.93,RUB
17,MTSS,RU0007775219,2021-07-08,26.51,RUB
18,MTSS,RU0007775219,2021-10-12,10.55,RUB
19,MTSS,RU0007775219,2022-07-12,33.85,RUB
20,SBER,RU0009029540,2019-06-13,16,RUB
21,SBER,RU0009029540,2020-10-05,18.7,RUB
22,SBER,RU0009029540,2021-05-12,18.7,RUB
23,SBER,RU0009029540,2023-05-11,25,RUB
